Rank,Name,AppID,Rating,Price,Release Date,Followers,Reviews,Peak Players
1,HoloCure - Save the Fans!,2420510,97.01,,17 Aug,35759,39913,46155
2,Pizza Tower,2231450,96.66,,26 Jan,56220,71270,9074
3,VPet-Simulator,1920960,96.46,,14 Aug,59131,50851,85551
4,Travellin Cats in Paris,2313250,96.40,,17 Jul,4113,17985,2159
5,Travellin Cats in Jingle Jam,2608050,96.38,,01 Dec,2243,10439,757
6,Papa's Freezeria Deluxe,2291760,96.37,,31 Mar,10038,12784,1227
7,Resident Evil 4,2050650,96.14,,24 Mar,307229,248948,168191
8,Lethal Company,1966720,96.13,,23 Oct,324014,507188,240817
9,Chants of Sennaar,1931770,96.13,,05 Sep,38385,30378,1584
10,Baldur's Gate 3,1086940,96.04,,03 Aug,999203,838351,875343
11,Volcano Princess,1669980,95.95,,21 Apr,72834,47772,31057
12,Crab Champions,774801,95.75,,01 Apr,45484,30369,8564
13,魔女的夜宴,2458530,95.58,,21 Jul,26100,11101,1374
14,Steam Engine Simulator,2381620,95.58,,07 Jun,9614,8873,1140
15,DAVE THE DIVER,1868140,95.45,,28 Jun,232760,149889,98480
16,Juice Galaxy,1708150,95.45,,22 Nov,6433,10148,426
17,Pineapple on pizza,2263010,95.44,,28 Mar,5155,25739,1415
18,SANABI,1562700,95.41,,09 Nov,33218,43801,7663
19,A Date with Death,2415010,95.30,,07 Dec,30489,13662,2870
20,Bomb Rush Cyberfunk,1353230,95.25,,18 Aug,48678,15144,8174
21,Brotato,1942280,95.14,,23 Jun,86060,113293,38905
22,An Arcade Full of Cats,2368470,95.10,,16 Nov,5004,7914,693
23,WITCH ON THE HOLY NIGHT,2052410,95.09,,14 Dec,30468,7619,1049
24,Hi-Fi RUSH,1817230,95.06,,25 Jan,78641,35283,6132
25,Bopl Battle,1686940,95.01,,16 Nov,19473,24305,2250
26,Picayune Dreams,2088840,94.96,,04 Dec,4487,4365,683
27,Underground Blossom,2291850,94.85,,27 Sep,9750,6772,8368
28,东北之夏,2121360,94.81,,09 Jan,12199,12169,8672
29,The Murder of Sonic the Hedgehog,2324650,94.80,,31 Mar,10587,24904,15543
30,巫兎 - KANNAGI USAGI -,2551500,94.73,,03 Nov,4333,7065,1505
31,Slay the Princess — The Pristine Cut,1989270,94.72,,23 Oct,60237,31449,2583
32,Your Only Move Is HUSTLE,2212330,94.55,,02 Feb,36665,41790,3405
33,Loddlenaut,1644940,94.49,,16 Nov,10190,5650,390
34,Smushi Come Home,1740300,94.49,,10 Jun,9089,2661,189
35,Bloody Hell,2056220,94.45,,27 Jan,3226,6753,401
36,Ghost Trick: Phantom Detective,1967430,94.43,,30 Jun,18556,8039,1474
37,Handshakes,2171690,94.42,,13 Jan,825,2845,195
38,Pseudoregalia,2365810,94.40,,28 Jul,20323,18040,643
39,Disfigure,2083160,94.38,,27 Jul,3228,6299,1272
40,VillageRhapsody,2109460,94.32,,26 Apr,71161,16177,4121
41,LIZARDS MUST DIE,2532550,94.13,,27 Sep,11097,26474,1140
42,DREDGE,1562430,94.10,,30 Mar,141216,53902,12686
43,100 Asian Cats,2667970,94.10,,17 Dec,5011,8452,13382
44,Arrow a Row,2495980,94.09,,20 Aug,3401,17017,9404
45,In Stars And Time,1677310,94.07,,20 Nov,16407,8263,402
46,The Coffin of Andy and Leyley,2378900,94.06,,13 Oct,85555,36831,3150
47,Your Turn To Die -Death Game By Majority-,2067780,94.04,,20 Feb,19522,4021,471
48,Grimhook,2667430,94.01,,09 Dec,1941,4016,66
