game_name,app_id,tag,2021_peak_players
New World: Aeternum,1063730,Action,913634
Valheim,892970,Action,502387
Capcom Arcade Stadium,1515950,Action,488791
PUBG: BATTLEGROUNDS,578080,Action,467758
World of Warships,552990,Action,379096
Apex Legends,1172470,Action,330879
Halo Infinite,1240440,Action,272586
Cyberpunk 2077,1091500,Action,225963
Grand Theft Auto V Legacy,271590,Action,219112
Tom Clancy's Rainbow Six Siege,359550,Action,201053
Warframe,230410,Action,189837
Destiny 2,1085660,Action,187599
NARAKA: BLADEPOINT,1203220,Action,187468
鬼谷八荒 Tale of Immortal,1468810,Action,184171
Path of Exile,238960,Action,157103
ARK: Survival Evolved,346110,Action,147640
OUTRIDERS,680420,Action,125143
Rocket League,252950,Action,112848
Resident Evil Village,1196590,Action,106631
