app_id,game_name,Month,Avg. Players,Gain,% Gain,Peak Players
1063730,New World: Aeternum,Last 30 Days,549.8,-29.4,-5.08%,987
1063730,New World: Aeternum,April 2026,579.3,-2.4,-0.42%,975
1063730,New World: Aeternum,March 2026,581.7,-156.8,-21.23%,"1,093"
1063730,New World: Aeternum,February 2026,738.5,-195.1,-20.89%,"1,367"
1063730,New World: Aeternum,January 2026,933.5,-288.4,-23.60%,"1,703"
1063730,New World: Aeternum,December 2025,"1,222.0","-2,490.2",-67.08%,"2,278"
1063730,New World: Aeternum,November 2025,"3,712.2","-17,573.8",-82.56%,"9,582"
1063730,New World: Aeternum,October 2025,"21,286.0","+12,223.5",+134.88%,"50,987"
1063730,New World: Aeternum,September 2025,"9,062.5",+564.9,+6.65%,"17,482"
1063730,New World: Aeternum,August 2025,"8,497.6","+2,455.3",+40.64%,"13,351"
1063730,New World: Aeternum,July 2025,"6,042.3",+713.8,+13.40%,"10,969"
1063730,New World: Aeternum,June 2025,"5,328.5",-585.6,-9.90%,"9,253"
1063730,New World: Aeternum,May 2025,"5,914.1",+320.6,+5.73%,"9,633"
1063730,New World: Aeternum,April 2025,"5,593.5","-1,289.5",-18.73%,"8,509"
1063730,New World: Aeternum,March 2025,"6,883.0","-1,837.2",-21.07%,"11,570"
1063730,New World: Aeternum,February 2025,"8,720.2","-1,322.5",-13.17%,"14,588"
1063730,New World: Aeternum,January 2025,"10,042.7","-2,410.4",-19.36%,"17,046"
1063730,New World: Aeternum,December 2024,"12,453.1","-9,774.4",-43.97%,"25,111"
1063730,New World: Aeternum,November 2024,"22,227.5","+1,704.2",+8.30%,"44,245"
1063730,New World: Aeternum,October 2024,"20,523.4","+16,197.1",+374.39%,"61,364"
1063730,New World: Aeternum,September 2024,"4,326.2","+1,040.7",+31.68%,"8,711"
1063730,New World: Aeternum,August 2024,"3,285.5",-355.4,-9.76%,"5,095"
1063730,New World: Aeternum,July 2024,"3,640.9","-1,432.6",-28.24%,"6,208"
1063730,New World: Aeternum,June 2024,"5,073.5","-1,108.2",-17.93%,"8,466"
1063730,New World: Aeternum,May 2024,"6,181.7","-1,536.0",-19.90%,"9,783"
1063730,New World: Aeternum,April 2024,"7,717.7","-1,411.5",-15.46%,"13,046"
1063730,New World: Aeternum,March 2024,"9,129.2","-1,528.6",-14.34%,"14,400"
1063730,New World: Aeternum,February 2024,"10,657.8","-5,689.4",-34.80%,"17,532"
1063730,New World: Aeternum,January 2024,"16,347.3","-1,877.5",-10.30%,"29,121"
1063730,New World: Aeternum,December 2023,"18,224.7","-6,307.7",-25.71%,"30,227"
1063730,New World: Aeternum,November 2023,"24,532.4","-12,862.9",-34.40%,"45,836"
1063730,New World: Aeternum,October 2023,"37,395.3","+23,371.6",+166.66%,"77,642"
1063730,New World: Aeternum,September 2023,"14,023.7","+1,979.4",+16.43%,"25,912"
1063730,New World: Aeternum,August 2023,"12,044.3","-2,783.2",-18.77%,"20,091"
1063730,New World: Aeternum,July 2023,"14,827.4","+3,474.7",+30.61%,"25,878"
1063730,New World: Aeternum,June 2023,"11,352.8","-2,975.4",-20.77%,"20,288"
1063730,New World: Aeternum,May 2023,"14,328.1","-2,582.1",-15.27%,"23,468"
1063730,New World: Aeternum,April 2023,"16,910.3","+1,950.3",+13.04%,"28,227"
1063730,New World: Aeternum,March 2023,"14,959.9","-4,113.3",-21.57%,"24,140"
1063730,New World: Aeternum,February 2023,"19,073.2","-9,435.8",-33.10%,"32,988"
1063730,New World: Aeternum,January 2023,"28,509.0","-13,263.2",-31.75%,"49,914"
1063730,New World: Aeternum,December 2022,"41,772.2","-25,986.5",-38.35%,"73,970"
1063730,New World: Aeternum,November 2022,"67,758.6","+33,014.7",+95.02%,"137,755"
1063730,New World: Aeternum,October 2022,"34,744.0","+9,474.8",+37.50%,"69,605"
1063730,New World: Aeternum,September 2022,"25,269.2","+8,765.2",+53.11%,"45,745"
